AGS_LITHID	Site_ID	UWI	Lat_NAD83	Long_NAD83	Li_mg_L	Geo_Unit	Gr_El_masl	KB_El_masl	T_Depth_m	B_Depth_m	M_Depth_m	Cat_An_Bal	Date_Samp	Comments	Report_No	Reference	Pub_by
LITHID_0001	486		51.851378	-114.046245	0.1	Paskapoo Formation	998.5		32.6	38.7	35.7	0.06252	1980-09-18		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0002	98469	100/01-05-064-18W5/0	54.504754	-116.677433	42.0	Beaverhill Lake Group	781.2	786.1	2948.9	2998.0	2973.5	-0.03650			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0003	555		51.709009	-112.205081	0.2		815.5		47.2	53.3	50.3	0.01821	1977-08-08		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0004	772		49.104645	-111.190510	<0.1							0.00308	1977-09-08		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0005	105401	100/01-07-069-21W5/0	54.953639	-117.183213	30.0	Jurassic system	646.5	650.7	1439.6	1498.1	1468.9	0.00058			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0007	100982	100/01-11-065-21W5/0	54.605942	-117.056273	43.0	Montney Formation	765.4	769.3	1958.3	1965.7	1962.0	-0.01303			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0008	95282	100/01-12-062-11W4/0	54.342281	-111.504160	7.0	Mannville Group	623.0	625.4	515.1	527.9	521.5	-0.01543			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0009	114277	100/01-14-082-12W6/0	56.103944	-119.753322	58.0	Triassic system	623.3	627.0	1493.5	1511.8	1502.7	0.00727			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0010	116024	100/01-15-085-09W6/0	56.365066	-119.323478	5.0	Mannville Group	651.4	655.0	936.0	940.3	938.2	-0.00544			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0011	112065	100/01-16-079-22W5/0	55.841676	-117.371475	100.0	Winterburn Group	576.7	580.9	2054.4	2055.9	2055.2	-0.00114			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0012	82307	100/01-18-052-05W5/0	53.486216	-114.719130	17.0		799.2	802.9	1645.0	1649.0	1647.0	0.00048			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0013	111		49.904136	-112.913683	0.3		950.9		24.4	30.5	27.5	-0.00052	1977-06-26		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0014	116963	100/01-22-087-24W5/0	56.554164	-117.728347	9.0	Permian system	648.9	652.6	781.8	800.1	791.0	-0.00991			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0015	116963	100/01-22-087-24W5/0	56.554164	-117.728347	8.0	Mississippian system	648.9	652.6	835.8	845.8	840.8	-0.02894			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0016	44965	100/01-23-035-20W4/0	52.013715	-112.746193	48.6	Winterburn Group	853.4	856.8	1617.9	1624.9	1621.4	0.00952			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0017	615		51.010443	-111.729026	<0.1	Bearpaw Formation	707.3		0.0	6.1	3.1	0.10832	1978-08-04		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0019	530		51.010492	-112.635881	0.1	Paskapoo Formation	751.5		0.0	4.3	2.2	0.05428	1979-09-27		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0020	530		53.295714	-114.193884	<0.1		919.2		86.0	92.0	89.0	0.05018	1977-08-05		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0021	469		50.118688	-114.162833	0.1		1295.7		3.1	9.1	6.1	0.03955	1980-08-19		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0022	237		52.606913	-112.551138	0.3		769.8		27.4	33.5	30.5	0.05039	1977-07-19		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0023	494		51.549359	-114.403150	0.1	Paskapoo Formation	1135.7		65.5	71.6	68.6	0.08369	1980-09-04		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0024	90627	100/02-04-057-03W5/0	53.893799	-114.380482	22.0	Wabamun Group	681.9	686.4	1333.0	1335.0	1334.0	-0.00105			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0025	143		49.001792	-111.170108	<0.1							0.01168	1978-06-14		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0026	556		51.879867	-112.016152	0.4		838.4		24.4	30.5	27.5	1.00000	1977-08-06		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0027	100766	100/02-06-065-12W5/0	54.590950	-115.800609	40.0	Beaverhill Lake Group	1039.1	1043.3	2756.9	2769.1	2763.0	-0.00135			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0028	100915	100/02-09-065-16W5/0	54.605951	-116.353701	35.0		957.7	961.9	1806.6	1820.3	1813.5	-0.01798			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0029	92004	100/02-10-058-19W5/0	53.993493	-116.735110	120.0	Winterburn Group	1222.9	1226.5	3477.2	3458.3	3467.8	-0.01274			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0030	2575	100/02-11-007-08W4/0	49.538891	-110.982567	1.2	Viking Formation	838.8	842.2	673.6	684.6	679.1	0.01663			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0031	128018	100/02-12-111-07W6/0	58.617937	-119.022681	32.0	Elk Point Group	521.8	526.4	1650.5	1656.0	1653.3	-0.00449			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0032	128018	100/02-12-111-07W6/0	58.617937	-119.022681	38.0	Sulphur Point Formation	521.8	526.4	1656.0	1661.5	1658.8	-0.00535			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0033	22058	100/02-14-018-13W4/0	50.515114	-111.684657	8.0		753.2	756.8	994.0	994.9	994.5	0.06774			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0034	116620	100/02-19-087-08W5/0	56.553731	-115.261359	9.8		543.5	547.4	1449.0	1454.5	1451.8	-0.00196			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0035	116620	100/02-19-087-08W5/0	56.553731	-115.261359	71.0		543.5	547.4	1449.0	1454.5	1451.8	0.02517			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0036	51416	100/02-22-039-21W4/0	52.363495	-112.938422	130.0	Woodbend Group	813.2	817.2	1717.9	1729.7	1723.8	0.01671			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0037	127159	100/02-22-107-09W6/0	58.297575	-119.405110	44.0	Sulphur Point Formation	501.7	506.6	1834.3	1838.9	1836.6	-0.00286			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0038	127159	100/02-22-107-09W6/0	58.297575	-119.405110	38.0	Elk Point Group	501.7	506.6	1944.0	1951.6	1947.8	-0.00531			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0039	44615	100/02-23-035-11W4/0	52.014098	-111.465618	1.5	Viking Formation	789.7	794.0	915.0	931.2	923.1	0.03720			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0040	806		54.008446	-119.143453	<0.1							0.01219	1977-10-19		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0041	113503	100/02-24-081-10W5/0	56.030755	-115.419885	95.0		653.5	658.1	1736.8	1741.0	1738.9	0.00007			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0042	70204	100/02-28-048-06W5/0	53.165895	-114.814270	1.0		836.3	839.6	1070.0	1082.0	1076.0	0.00620			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0043	96705	100/02-30-063-04W5/0	54.475992	-114.587859	7.1	Mannville Group	647.1	651.1	984.5	990.6	987.6	0.01773			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0044	96705	100/02-30-063-04W5/0	54.475992	-114.587859	30.0	Winterburn Group	647.1	651.1	1316.7	1325.3	1321.0	0.01766			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0045	50430	100/02-32-038-03W5/0	52.305994	-114.391462	15.9	Winterburn Group	944.0	947.9	2659.1	2659.7	2659.4	0.00095			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0046	127175	100/02-32-107-09W6/0	58.327712	-119.460511	32.0	Keg River Formation	481.3	486.5	1996.4	2008.9	2002.7	-0.01015			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0047	608		51.737975	-110.976629	0.2	Belly River Group	762.2		191.4	197.5	194.5	-0.01007	1978-08-03		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0048	83939	100/02-34-053-19W5/0	53.616893	-116.713804	58.0	Mississippian system	979.6	984.8	2885.8	2892.6	2889.2	-0.03081			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0049	39537	100/02-35-031-10W4/0	51.693971	-111.313870	10.0	Winterburn Group	759.6	762.9	1131.1	1140.6	1135.9	-0.01885			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0050	39537	100/02-35-031-10W4/0	51.693971	-111.313870	11.0	Winterburn Group	759.6	762.9	1137.2	1140.6	1138.9	0.01875			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0051	111835	100/03-01-079-06W5/0	55.812560	-114.796725	1.7	Mannville Group	651.4	653.8	545.6	554.7	550.2	0.00127			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0052	116562	100/03-04-087-08W5/0	56.510370	-115.214972	14.0	Elk Point Group	578.2	582.2	1493.5	1521.0	1507.3	0.01690			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0053	144		49.000022	-111.177753	<0.1							-0.01371	1978-06-13		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0054	90614	100/03-07-057-01W5/0	53.907821	-114.139089	26.0	Wabamun Group	702.7	707.0	1246.0	1249.0	1247.5	-0.00450			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0055	2685	100/03-10-007-14W4/0	49.540705	-111.825522	2.8		886.1	888.5	946.4	952.5	949.5	0.09383			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0056	91411	100/03-14-058-20W4/0	54.009803	-112.868540	0.3	Mannville Group	624.5	627.9	152.4	193.5	173.0	0.08939			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0057	103		49.510380	-111.802376	<0.1	Lea Park Formation	896.3		140.2	146.3	143.3	0.03355	1977-06-24		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0058	103511	100/03-17-067-19W5/0	54.794885	-116.866158	15.0		733.7	739.4	1682.5	1689.5	1686.0	0.01052			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0059	545		51.501539	-112.141166	0.0		731.7		0.0	6.1	3.1	-0.00869	1979-09-05		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0060	545		53.833804	-114.222046	<0.1		929.9		21.3	27.4	24.4	0.00992	1977-08-06		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0061	66112	100/03-19-047-27W4/0	53.062570	-113.941011	46.0	Woodbend Group		864.7	2156.8	2161.6	2159.2	-0.02278			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0062	53949	100/03-21-040-24W4/0	52.450926	-113.402321	76.0	Winterburn Group	896.4	900.4	1918.4	1919.3	1918.9	-0.01033			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0063	109373	100/03-23-075-25W4/0	55.506507	-113.774868	0.3	Wabiskaw Member	723.3	727.3	630.9	633.4	632.2	-0.00188			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0064	73700	100/03-24-049-05W5/0	53.239125	-114.603891	1.0		798.5	802.6	1242.0	1246.0	1244.0	0.03742			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0065	109374	100/03-25-075-25W4/0	55.521173	-113.747173	1.5	Mannville Group	785.2	788.5	684.0	688.2	686.1	0.02989			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0066	46723	100/03-26-036-20W4/0	52.115713	-112.757969	48.0	Winterburn Group	837.0	840.0	1587.1	1594.1	1590.6	-0.02074			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0067	46723	100/03-26-036-20W4/0	52.115713	-112.757969	65.0	Winterburn Group	837.0	840.0	1622.8	1624.0	1623.4	-0.01919			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0068	69408	100/03-27-048-27W4/0	53.165167	-113.869254	56.0	Winterburn Group	775.7	775.7	1738.6	1747.7	1743.2	-0.03368			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0069	127506	100/03-28-109-06W6/0	58.485711	-118.941763	54.0	Keg River Formation	453.8	458.1	1701.4	1713.0	1707.2	0.03479			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0070	188		54.207771	-110.202407	0.0		556.4		3.1	9.1	6.1	0.03763	1979-06-19		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0071	470		50.209627	-114.202132	0.1		1341.5		16.8	22.9	19.9	0.03209	1980-08-19		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0072	69168	100/03-33-048-21W4/0	53.179697	-113.016374	3.6	Viking Formation	776.0	779.7	1012.9	1013.2	1013.1	-0.00222			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0073	3208	100/04-01-008-15W4/0	49.614462	-111.921858	1.7		887.9	891.5	718.1	725.4	721.8	0.05328			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0074	983		49.177176	-110.853376	<0.1							-0.00813	1978-10-18		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0075	114094	100/04-03-082-17W5/0	56.074920	-116.579921	7.5	Mannville Group	737.0	741.0	701.0	736.1	718.6	0.01387			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0076	145		48.999329	-111.181508	<0.1							0.06557	1978-06-13		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0077	242		52.665834	-113.894114	<0.1				0.0	3.7	1.9	0.01016	1979-06-26		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0078	242		54.818349	-112.900730	<0.1	Paskapoo Formation	861.3		18.3	24.4	21.4	-0.03388	1977-07-13		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0079	554		51.723620	-112.317270	0.3		846.0		15.2	21.3	18.3	0.00012	1977-08-08		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0080	33		53.194175	-113.053103	0.6		765.2		12.2	15.2	13.7		1981-03-25		AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0081	37449	100/04-08-029-18W4/0	51.461528	-112.509977	2.0		823.6	827.5	1277.1	1278.3	1277.7	0.00785			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
LITHID_0082	117024	100/04-08-087-03W6/0	56.525635	-118.451906	76.0	Woodbend Group	865.3	869.3	2270.8	2313.4	2292.1	-0.00760			AGS DIG 2010-0001	"Eccles, D.R. and Jean, G.M. (2010): Lithium Groundwater and Formation-Water Geochemical Data; Energy Resources Conservation Board / Alberta Geological Survey; DIG 2010-0001."	Alberta Geological Survey
